,PDF,Ocorrências,Páginas,Lista de Páginas,Densidade (ocorr/pág),Racionalidade
0,Alberto Guerreiro Ramos - Administração e Estratégia do Desenvolvimento-FGV (1966).pdf,130,37,"102, 114, 115, 13, 14, 155, 16, 243, 26, 266, 275, 289, 293, 296, 297, 298, 33, 405, 70, 71, 72, 73, 74, 75, 76, 77, 78, 80, 84, 85, 86, 87, 88, 89, 90, 91, 92",0.27,130
1,Inovação social ou compensação Reflexões acerca.pdf,29,10,"10, 12, 17, 18, 20, 3, 4, 5, 6, 7",1.38,29
2,Razão Substantiva_Wilson Pizza Junior_1994.pdf,19,5,"1, 4, 5, 6, 7",2.38,19
3,PUBLICAÇÃO_KARL MANNHEIM E OS PROBLEMAS DA SOCIOLOGIA DO CONHECIMENTO.pdf,6,3,"116, 127, 133",0.03,6
4,Sociologia do conhecimento by Karl Mannheim (z-lib.org).pdf,6,6,"101, 36, 37, 38, 39, 74",0.03,6
5,ARTIGO_A Sociologia do conhecimento de Karl Mannheim_entre ideologia e ciência.pdf,2,2,"21, 27",0.05,2
6,Burawoy_Por uma sociologia pública.pdf,2,1,12,0.05,2
